repeat,seed,fold,task,pos,neg,AUROC,AUPRC,F1,Precision,Recall
7,49,3,stage3,7,3,0.667,0.844,0.714,0.714,0.714
7,49,4,immune,2,6,0.25,0.243,0.0,0.0,0.0
7,49,4,chronic,2,8,0.625,0.325,0.0,0.0,0.0
7,49,4,stage3,8,2,0.625,0.876,0.5,0.75,0.375
8,50,0,immune,3,6,0.5,0.444,0.4,0.5,0.333
8,50,0,chronic,2,9,0.722,0.417,0.0,0.0,0.0
8,50,0,stage3,5,5,0.52,0.564,0.615,0.5,0.8
8,50,1,immune,3,6,0.722,0.556,0.5,0.4,0.667
8,50,1,chronic,2,9,0.833,0.7,0.333,0.25,0.5
8,50,1,stage3,5,3,0.267,0.559,0.545,0.5,0.6
